ANITA-II,,RICE,,Auger,,IceCube,,MACRO,
X,Y,X,Y,X,Y,X,Y,X,Y
11.813986467283607,5.897507138950572e-20,9.952606293725351,5.909762251191489e-19,,,,,8.825076209126408,1.9361200525081572e-16
11.898073456643528,5.716184624573913e-20,10.040515418965269,6.131569161810822e-19,,,,,8.909163198486329,1.9883607674636182e-16
11.98216044600345,5.530732476683439e-20,10.132246680085183,6.13376261829062e-19,,,,,8.993250188,2.0384343088111752e-16
12.06624743536337,5.370092812347907e-20,10.223977941205096,6.052016782151308e-19,,,,,9.077337177206172,2.0971089336810994e-16
12.150334424723292,5.2970398450112033e-20,10.319531338205007,6.121356430592905e-19,,,,,9.161424166566093,2.1650503244328726e-16
12.234421414083213,5.134179069971652e-20,10.415084735204918,6.191490522774395e-19,,,,,9.245511155926014,2.2118047950297569e-16
12.318508403443134,5.0466097773562874e-20,10.506815996324832,6.108975335730171e-19,,,,,9.329598145285935,2.27946240002497e-16
12.402595392803056,4.934513424826594e-20,10.598547257444746,6.111160709682819e-19,,,,,9.413685134645856,2.3450748166961666e-16
12.486682382162977,4.7995977623166e-20,10.69027851856466,6.113346865412943e-19,,,,,9.497772124005778,2.4041316049402544e-16
12.570769371522898,4.7260131162089866e-20,10.782009779684575,6.015278817905802e-19,,,,,9.581859113365699,2.469000285849993e-16
12.65485636088282,4.588746458703144e-20,10.873741040804488,6.017430673646597e-19,,,,,9.665946103,2.544525326056313e-16
12.73894335024274,4.510480142724782e-20,10.965472301924402,5.920901278183521e-19,,,,,9.750033092085541,2.6131821338215426e-16
12.823030339602662,4.402567443362449e-20,11.057203563044316,6.172906157026968e-19,,,,,9.834120081445462,2.6789907565663613e-16
12.907117328962583,4.289709598140607e-20,11.148934824164229,6.435636845333678e-19,,,,,9.918207070805384,2.75610326246958e-16
12.972093638922521,4.238462520141413e-20,11.240666085284143,6.728059429418315e-19,,,,,10.002294060165305,2.8453945175399553e-16
,,11.336219482284054,6.983191299763082e-19,,,,,10.086381049525226,2.871386915207096e-16
,,11.427950743403969,7.313074549701745e-19,,,,,10.170468038885147,2.872328488375762e-16
,,11.519682004523883,7.695552808895e-19,,,,,10.254555028245068,2.8732703703011566e-16
,,11.611413265643797,8.059087740375254e-19,,,,,10.33864201760499,2.874212561084527e-16
,,11.703144526763712,8.419476029825817e-19,,,,,10.42272900696491,2.875155060827152e-16
,,11.798697923763621,8.640002971441932e-19,,,,,10.506815996324832,2.8760978696303445e-16
,,11.890429184883535,9.032587583676525e-19,,,,,10.590902985684753,2.87704098759545e-16
,,11.978338310123453,9.416891441766484e-19,,,,,10.674989975044674,2.877984414823836e-16
,,,,,,,,10.759076964404596,2.8789281514169383e-16
,,,,,,,,10.843163953764517,2.879872197476191e-16
,,,,,,,,10.927250943124438,2.880816553103061e-16
,,,,,,,,11.01133793248436,2.881761218399084e-16
,,,,,,,,11.09542492184428,2.882706193465793e-16
,,,,,,,,11.179511911204202,2.883651478404768e-16
,,,,,,,,11.263598900564123,2.8845970733176196e-16
,,,,,,,,11.347685889924044,2.885542978305994e-16
,,,,,,,,11.431772879283965,2.88648919347157e-16
,,,,,,,,11.515859868643886,2.8874357189160595e-16
,,,,,,,,11.599946858003808,2.8883825547411955e-16
,,,,,,,,11.684033847363729,2.88932970104878e-16
,,,,,,,,11.76812083672365,2.890277157940615e-16
,,,,,,,,11.852207826083571,2.891224925518533e-16
,,,,,,,,11.936294815443492,2.8921730038844363e-16
,,,,,,,,12.020381804803414,2.893121393140226e-16
,,,,,,,,12.104468794163335,2.8940700933878473e-16
,,,,,,,,12.188555783523256,2.8950191047292795e-16
,,,,,,,,12.272642772883177,2.895968427266536e-16
,,,,,,,,12.356729762243098,2.896918061101661e-16
,,,,,,,,12.44081675160302,2.897868006336736e-16
,,,,,,,,12.524903740962941,2.898818263073861e-16
,,,,,,,,12.608990730322862,2.899768831415206e-16
,,,,,,,,12.693077719682783,2.9007197114629397e-16
,,,,,,,,12.777164709042705,2.9016709033192636e-16
,,,,,,,,12.861251698402626,2.902622407086448e-16
,,,,,,,,12.945338687762547,2.9035742228667615e-16
,,,,,,,,12.991204318322504,2.904093526656824e-16
