Rotation 0 deg zeroZ 4400
id x y z 
430 -162.850 162.750 4395.900
431 -162.330 130.910 4395.200
432 -162.510 101.210 4395.050
433 -157.225 -48.372 4393.310
434 -162.570 -78.320 4394.390
435 -162.470 -108.270 4394.260
436 -162.440 -138.380 4394.630
437 -162.460 -168.300 4394.790
438 -162.600 -198.370 4394.440
439 -162.500 -228.370 4395.470
440 -162.500 -258.370 4395.830
441 -162.440 -288.300 4397.710
442 -162.460 -318.320 4399.750
443 -162.410 -358.370 4401.400
444 -157.470 -381.360 4399.060
445 -162.460 -408.420 4398.580
446 -162.500 -438.370 4397.670
447 -162.500 -468.390 4397.290
448 -162.500 -498.370 4397.690
449 -162.500 -528.370 4398.190
450 -136.515 536.628 4400.750
451 -136.515 506.628 4400.630
452 -136.515 476.628 4399.830
453 -136.515 446.628 4397.120
454 -135.515 416.628 4396.150
455 -136.515 386.628 4395.730
456 -136.515 356.628 4395.100
457 -136.515 326.628 4393.850
458 -136.370 296.450 4395.790
459 -132.390 260.420 4395.880
460 -136.260 236.440 4395.820
461 -136.430 206.660 4395.510
462 -136.620 177.330 4395.740
463 -135.740 146.940 4395.520
464 -136.300 116.080 4395.470
465 -130.090 -100.000 4394.120
466 -141.960 -123.290 4395.010
467 -136.520 -153.290 4394.830
468 -136.460 -183.370 4395.040
469 -136.520 -213.370 4395.570
470 -136.520 -243.370 4395.790
471 -136.520 -273.370 4396.540
472 -136.520 -303.370 4397.670
473 -132.010 -333.380 4401.380
474 -135.520 -364.370 4400.430
475 -136.520 -393.370 4399.650
476 -134.520 -418.870 4400.310
477 -136.560 -453.390 4398.630
478 -136.520 -483.370 4398.400
479 -130.520 -507.370 4399.900
480 -136.520 -553.370 4399.970
481 -115.034 551.628 4400.920
482 -110.534 521.628 4399.760
483 -110.534 491.628 4399.240
484 -110.534 461.628 4396.410
485 -110.534 431.628 4396.520
486 -110.534 401.628 4395.960
487 -110.534 371.628 4395.360
488 -114.534 337.628 4394.030
489 -109.710 311.510 4395.860
490 -110.180 275.940 4395.590
491 -108.800 251.490 4395.330
492 -110.580 221.640 4395.280
493 -110.590 191.790 4396.330
494 -110.670 161.570 4395.520
495 -110.420 131.830 4396.800
496 -110.940 -136.120 4394.560
497 -97.460 -161.240 4394.440
498 -110.510 -200.300 4394.770
499 -110.500 -228.350 4395.730
500 -104.430 -258.360 4396.140
501 -110.460 -288.310 4396.950
502 -110.560 -315.400 4398.570
503 -110.510 -348.300 4401.070
504 -110.540 -378.370 4400.230
505 -110.540 -408.370 4401.360
506 -110.520 -438.380 4401.990
507 -113.480 -468.370 4399.780
508 -110.540 -498.370 4401.070
509 -110.540 -528.370 4398.620
510 -105.540 -558.370 4403.770
511 -84.553 566.628 4401.410
512 -84.553 536.628 4399.860
513 -84.553 506.628 4398.510
514 -84.553 476.628 4396.960
515 -84.553 446.628 4396.930
516 -84.553 416.628 4395.900
517 -84.553 386.628 4394.300
518 -84.380 356.400 4395.620
519 -84.940 326.900 4395.220
520 -84.600 296.640 4395.260
521 -84.430 266.920 4395.190
522 -84.380 236.850 4395.290
523 -84.300 207.410 4395.400
524 -84.550 176.770 4396.060
525 -84.500 146.740 4395.750
526 -90.840 -183.740 4392.920
527 -84.440 -213.380 4394.900
528 -84.470 -243.330 4395.830
529 -84.470 -273.310 4396.580
530 -84.510 -303.410 4398.620
531 -83.450 -329.300 4400.880
532 -89.560 -363.370 4401.840
533 -87.560 -390.370 4402.330
534 -84.580 -423.400 4403.640
535 -84.560 -449.370 4404.330
536 -79.560 -485.370 4405.840
537 -84.560 -508.370 4405.860
538 -84.560 -543.370 4404.970
539 -58.573 551.628 4400.350
540 -61.573 521.628 4397.730
541 -61.573 494.628 4397.310
542 -66.573 461.628 4396.120
543 -61.573 438.628 4396.780
544 -63.573 409.628 4394.490
545 -58.430 371.690 4396.150
546 -58.590 341.660 4395.560
547 -58.210 311.240 4395.370
548 -58.130 280.400 4395.930
549 -58.680 251.710 4395.320
550 -58.590 221.610 4395.660
551 -58.570 191.680 4395.390
552 -58.420 161.850 4395.600
553 -61.570 -228.320 4395.960
554 -58.490 -258.250 4397.430
555 -58.500 -288.340 4398.370
556 -58.510 -318.420 4400.540
557 -58.680 -348.370 4403.900
558 -54.580 -376.370 4404.380
559 -58.580 -408.370 4404.410
560 -63.000 -436.310 4404.710
561 -50.580 -461.370 4407.380
562 -51.580 -498.370 4409.660
563 -58.680 -528.370 4408.410
564 -58.580 -558.370 4409.170
565 -32.592 566.628 4400.580
566 -35.592 545.628 4399.990
567 -32.694 506.627 4395.280
568 -32.592 476.628 4395.450
569 -32.592 446.628 4394.840
570 -32.592 416.628 4394.490
571 -34.720 388.610 4396.500
572 -32.290 356.540 4396.250
573 -32.870 326.700 4396.700
574 -32.630 296.340 4395.740
575 -32.680 266.700 4395.380
576 -32.500 236.500 4395.690
577 -32.920 206.680 4395.500
578 -32.650 176.730 4395.720
579 -29.530 -213.340 4396.500
580 -26.590 -238.370 4397.530
581 -40.580 -273.360 4398.680
582 -32.650 -303.320 4401.410
583 -32.590 -333.370 4404.270
584 -35.590 -363.370 4404.890
585 -32.590 -393.370 4405.190
586 -32.540 -423.420 4405.900
587 -28.590 -453.370 4408.550
588 -32.590 -483.370 4411.670
589 -38.590 -521.370 4409.850
590 -32.590 -543.370 4410.480
591 -32.590 -573.370 4412.090
592 -6.611 551.628 4397.870
593 -6.611 521.628 4395.290
594 -6.611 491.628 4395.400
595 -6.611 461.628 4395.640
596 -6.611 434.628 4396.470
597 -6.750 400.990 4397.640
598 -6.620 371.600 4397.850
599 -6.760 341.330 4397.770
600 -6.730 311.740 4395.650
601 -6.640 281.560 4395.580
602 -6.640 251.640 4395.640
603 -6.680 221.620 4396.080
604 -6.740 191.730 4396.870
605 -6.510 -198.330 4396.340
606 -6.610 -228.370 4397.710
607 -7.570 -259.330 4399.080
608 -9.530 -285.310 4401.740
609 -9.610 -321.370 4405.120
610 -9.610 -348.370 4405.760
611 -6.610 -378.370 4406.510
612 -12.530 -408.290 4406.180
613 -7.610 -433.870 4409.500
614 -9.650 -466.380 4409.480
615 -6.610 -498.370 4413.850
616 -6.610 -528.370 4415.940
617 -6.610 -565.370 4412.470
618 18.880 565.960 4399.700
619 19.180 537.160 4398.210
620 22.369 511.628 4397.460
621 19.510 476.470 4397.110
622 19.369 452.628 4397.100
623 19.470 416.460 4397.890
624 19.610 386.820 4397.790
625 19.780 356.410 4397.990
626 21.320 323.910 4397.960
627 19.730 296.080 4396.040
628 19.240 266.680 4395.810
629 19.440 237.060 4395.880
630 18.580 207.120 4396.000
